anonymous_cluster_id	genre	SVO	SOV	VSO	VOS	OSV	OVS
suk-publicistic-0012	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0013	suk-publicistic	3	0	0	1	0	0
suk-publicistic-0014	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0015	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0016	suk-publicistic	9	0	0	0	1	2
suk-publicistic-0017	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0018	suk-publicistic	4	0	0	0	0	2
suk-publicistic-0019	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0020	suk-publicistic	4	1	0	0	0	1
suk-publicistic-0021	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0022	suk-publicistic	1	0	1	0	0	0
suk-publicistic-0023	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0024	suk-publicistic	4	1	0	0	0	0
suk-publicistic-0025	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0026	suk-publicistic	9	0	0	0	0	0
suk-publicistic-0027	suk-publicistic	0	2	0	0	0	0
suk-publicistic-0028	suk-publicistic	3	0	1	1	0	0
suk-publicistic-0029	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0030	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0031	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0032	suk-publicistic	9	1	0	0	0	2
suk-publicistic-0033	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0034	suk-publicistic	0	0	0	0	1	0
suk-publicistic-0035	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0036	suk-publicistic	4	0	1	0	0	1
suk-publicistic-0037	suk-publicistic	8	0	0	0	0	1
suk-publicistic-0038	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0039	suk-publicistic	0	1	0	0	0	1
suk-publicistic-0040	suk-publicistic	5	1	0	0	0	1
suk-publicistic-0041	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0042	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0043	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0044	suk-publicistic	10	1	0	0	0	1
suk-publicistic-0045	suk-publicistic	20	1	1	1	1	2
suk-publicistic-0046	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0047	suk-publicistic	3	0	0	1	0	3
suk-publicistic-0048	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0049	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0050	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0051	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0052	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0053	suk-publicistic	6	1	0	0	0	1
suk-publicistic-0054	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0055	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0056	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0057	suk-publicistic	2	0	0	1	0	0
suk-publicistic-0058	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0059	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0060	suk-publicistic	4	0	0	0	0	2
suk-publicistic-0061	suk-publicistic	6	0	0	0	0	0
suk-publicistic-0062	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0063	suk-publicistic	3	0	0	0	0	2
suk-publicistic-0064	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0065	suk-publicistic	8	0	0	0	0	2
suk-publicistic-0066	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0067	suk-publicistic	4	0	0	1	0	0
suk-publicistic-0068	suk-publicistic	0	0	0	0	1	0
suk-publicistic-0069	suk-publicistic	0	1	0	0	0	1
suk-publicistic-0070	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0071	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0072	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0073	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0074	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0075	suk-publicistic	7	1	0	0	0	0
suk-publicistic-0076	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0077	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0078	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0079	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0080	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0081	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0082	suk-publicistic	2	0	0	1	0	1
suk-publicistic-0083	suk-publicistic	2	0	0	1	0	0
suk-publicistic-0084	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0085	suk-publicistic	3	0	0	1	0	0
suk-publicistic-0086	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0087	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0088	suk-publicistic	1	0	0	1	0	0
suk-publicistic-0089	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0090	suk-publicistic	3	0	0	0	0	3
suk-publicistic-0091	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0092	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0093	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0094	suk-publicistic	1	1	0	0	0	1
suk-publicistic-0095	suk-publicistic	8	0	0	0	0	1
suk-publicistic-0096	suk-publicistic	3	0	1	0	0	0
suk-publicistic-0097	suk-publicistic	1	0	0	1	0	0
suk-publicistic-0098	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0099	suk-publicistic	0	0	1	0	0	0
suk-publicistic-0100	suk-publicistic	2	0	1	0	0	0
suk-publicistic-0101	suk-publicistic	9	0	1	0	0	2
suk-publicistic-0102	suk-publicistic	3	1	0	0	0	1
suk-publicistic-0103	suk-publicistic	5	1	0	0	0	2
suk-publicistic-0104	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0105	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0106	suk-publicistic	5	0	0	0	0	1
suk-publicistic-0107	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0108	suk-publicistic	5	1	0	0	0	1
suk-publicistic-0109	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0110	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0111	suk-publicistic	2	1	1	0	0	0
suk-publicistic-0112	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0113	suk-publicistic	5	2	0	0	1	1
suk-publicistic-0114	suk-publicistic	2	0	0	0	1	1
suk-publicistic-0115	suk-publicistic	2	0	1	0	0	0
suk-publicistic-0116	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0117	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0118	suk-publicistic	4	1	0	0	0	0
suk-publicistic-0119	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0120	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0121	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0122	suk-publicistic	1	1	0	0	0	2
suk-publicistic-0123	suk-publicistic	6	1	0	0	0	0
suk-publicistic-0124	suk-publicistic	0	0	0	1	0	0
suk-publicistic-0125	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0126	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0127	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0128	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0129	suk-publicistic	5	0	1	0	0	0
suk-publicistic-0130	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0131	suk-publicistic	0	0	0	0	1	1
suk-publicistic-0132	suk-publicistic	1	0	0	0	1	0
suk-publicistic-0133	suk-publicistic	3	0	0	0	1	0
suk-publicistic-0134	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0135	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0136	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0137	suk-publicistic	6	0	1	0	0	1
suk-publicistic-0138	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0139	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0140	suk-publicistic	0	0	0	1	0	2
suk-publicistic-0141	suk-publicistic	4	0	0	0	0	2
suk-publicistic-0142	suk-publicistic	5	0	0	0	0	2
suk-publicistic-0143	suk-publicistic	7	0	0	0	0	1
suk-publicistic-0144	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0145	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0146	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0147	suk-publicistic	1	0	0	0	1	1
suk-publicistic-0148	suk-publicistic	5	2	0	0	0	0
suk-publicistic-0149	suk-publicistic	6	0	0	0	0	0
suk-publicistic-0150	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0151	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0152	suk-publicistic	3	0	0	0	0	2
suk-publicistic-0153	suk-publicistic	3	1	0	0	0	1
suk-publicistic-0154	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0155	suk-publicistic	1	0	1	0	0	0
suk-publicistic-0156	suk-publicistic	4	0	0	0	0	3
suk-publicistic-0157	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0158	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0159	suk-publicistic	4	0	1	0	0	1
suk-publicistic-0160	suk-publicistic	3	0	1	0	0	1
suk-publicistic-0161	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0162	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0163	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0164	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0165	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0166	suk-publicistic	3	1	1	0	1	2
suk-publicistic-0167	suk-publicistic	1	0	0	1	0	1
suk-publicistic-0168	suk-publicistic	2	1	0	0	1	0
suk-publicistic-0169	suk-publicistic	6	1	0	0	1	0
suk-publicistic-0170	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0171	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0172	suk-publicistic	3	0	1	0	0	2
suk-publicistic-0173	suk-publicistic	0	0	1	0	0	0
suk-publicistic-0174	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0175	suk-publicistic	1	1	0	0	0	0
suk-publicistic-0176	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0177	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0178	suk-publicistic	10	2	0	0	0	3
suk-publicistic-0179	suk-publicistic	5	0	0	1	0	0
suk-publicistic-0180	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0181	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0182	suk-publicistic	4	1	0	0	0	1
suk-publicistic-0183	suk-publicistic	4	1	0	0	0	0
suk-publicistic-0184	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0185	suk-publicistic	4	0	0	0	0	3
suk-publicistic-0186	suk-publicistic	1	0	0	0	0	2
suk-publicistic-0187	suk-publicistic	0	0	0	0	0	2
suk-publicistic-0188	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0189	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0190	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0191	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0192	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0193	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0194	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0195	suk-publicistic	1	0	0	0	1	0
suk-publicistic-0196	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0197	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0198	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0199	suk-publicistic	2	1	1	0	0	1
suk-publicistic-0200	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0201	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0202	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0203	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0204	suk-publicistic	6	0	0	0	0	0
suk-publicistic-0205	suk-publicistic	1	2	0	0	0	0
suk-publicistic-0206	suk-publicistic	4	0	1	0	0	2
suk-publicistic-0207	suk-publicistic	5	1	0	0	0	1
suk-publicistic-0208	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0209	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0210	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0211	suk-publicistic	3	0	2	0	0	1
suk-publicistic-0212	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0213	suk-publicistic	1	0	1	0	0	0
suk-publicistic-0214	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0215	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0216	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0217	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0218	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0219	suk-publicistic	0	1	1	1	0	0
suk-publicistic-0220	suk-publicistic	8	2	0	0	0	1
suk-publicistic-0221	suk-publicistic	0	0	0	0	0	2
suk-publicistic-0222	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0223	suk-publicistic	1	0	0	0	1	0
suk-publicistic-0224	suk-publicistic	14	5	2	1	0	1
suk-publicistic-0225	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0226	suk-publicistic	1	1	0	0	0	0
suk-publicistic-0227	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0228	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0229	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0230	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0231	suk-publicistic	1	0	1	0	0	1
suk-publicistic-0232	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0233	suk-publicistic	3	1	0	0	0	1
suk-publicistic-0234	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0235	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0236	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0237	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0238	suk-publicistic	6	0	1	0	0	0
suk-publicistic-0239	suk-publicistic	5	1	1	0	0	2
suk-publicistic-0240	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0241	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0242	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0243	suk-publicistic	1	0	0	1	0	0
suk-publicistic-0244	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0245	suk-publicistic	3	0	0	0	0	3
suk-publicistic-0246	suk-publicistic	8	0	1	0	0	4
suk-publicistic-0247	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0248	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0249	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0250	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0251	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0252	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0253	suk-publicistic	1	1	0	0	0	3
suk-publicistic-0254	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0255	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0256	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0257	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0258	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0259	suk-publicistic	2	1	0	0	0	1
suk-publicistic-0260	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0261	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0262	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0263	suk-publicistic	6	2	0	0	1	0
suk-publicistic-0264	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0265	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0266	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0267	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0268	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0269	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0270	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0271	suk-publicistic	5	0	0	0	0	1
suk-publicistic-0272	suk-publicistic	6	0	0	0	1	1
suk-publicistic-0273	suk-publicistic	2	0	1	0	0	1
suk-publicistic-0274	suk-publicistic	4	0	0	0	0	3
suk-publicistic-0275	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0276	suk-publicistic	14	0	0	0	0	0
suk-publicistic-0277	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0278	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0279	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0280	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0281	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0282	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0283	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0284	suk-publicistic	2	1	0	0	0	1
suk-publicistic-0285	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0286	suk-publicistic	8	0	0	0	0	2
suk-publicistic-0287	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0288	suk-publicistic	6	0	0	0	0	3
suk-publicistic-0289	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0290	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0291	suk-publicistic	6	0	0	0	0	0
suk-publicistic-0292	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0293	suk-publicistic	0	0	0	0	1	0
suk-publicistic-0294	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0295	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0296	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0297	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0298	suk-publicistic	0	0	0	0	0	3
suk-publicistic-0299	suk-publicistic	3	1	1	0	0	1
suk-publicistic-0300	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0301	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0302	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0303	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0304	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0305	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0306	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0307	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0308	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0309	suk-publicistic	1	1	0	0	0	0
suk-publicistic-0310	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0311	suk-publicistic	1	0	0	0	1	0
suk-publicistic-0312	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0313	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0314	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0315	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0316	suk-publicistic	4	1	0	0	0	1
suk-publicistic-0317	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0318	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0319	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0320	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0321	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0322	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0323	suk-publicistic	0	0	0	0	1	0
suk-publicistic-0324	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0325	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0326	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0327	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0328	suk-publicistic	5	0	0	0	0	1
suk-publicistic-0329	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0330	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0331	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0332	suk-publicistic	8	0	0	0	0	2
suk-publicistic-0333	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0334	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0335	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0336	suk-publicistic	1	2	0	0	0	0
suk-publicistic-0337	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0338	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0339	suk-publicistic	4	1	0	0	0	2
suk-publicistic-0340	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0341	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0342	suk-publicistic	2	2	0	1	0	0
suk-publicistic-0343	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0344	suk-publicistic	3	0	0	0	0	2
suk-publicistic-0345	suk-publicistic	1	0	0	0	1	0
suk-publicistic-0346	suk-publicistic	3	1	2	0	0	1
suk-publicistic-0347	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0348	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0349	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0350	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0351	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0352	suk-publicistic	3	0	1	0	0	1
suk-publicistic-0353	suk-publicistic	4	1	0	0	0	3
suk-publicistic-0354	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0355	suk-publicistic	1	1	0	0	0	1
suk-publicistic-0356	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0357	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0358	suk-publicistic	4	0	0	1	0	0
suk-publicistic-0359	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0360	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0361	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0362	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0363	suk-publicistic	3	1	1	0	1	2
suk-publicistic-0364	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0365	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0366	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0367	suk-publicistic	6	1	0	0	0	1
suk-publicistic-0368	suk-publicistic	5	0	0	1	0	0
suk-publicistic-0369	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0370	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0371	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0372	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0373	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0374	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0375	suk-publicistic	6	0	0	0	1	1
suk-publicistic-0376	suk-publicistic	2	1	0	0	0	0
suk-publicistic-0377	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0378	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0379	suk-publicistic	0	1	0	0	0	1
suk-publicistic-0380	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0381	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0382	suk-publicistic	3	1	0	0	0	0
suk-publicistic-0383	suk-publicistic	3	0	0	0	0	1
suk-publicistic-0384	suk-publicistic	5	1	0	0	0	0
suk-publicistic-0385	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0386	suk-publicistic	5	1	0	0	0	2
suk-publicistic-0387	suk-publicistic	0	1	0	0	0	0
suk-publicistic-0388	suk-publicistic	8	0	2	0	1	2
suk-publicistic-0389	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0390	suk-publicistic	5	0	0	0	0	0
suk-publicistic-0391	suk-publicistic	3	1	0	0	0	2
suk-publicistic-0392	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0393	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0394	suk-publicistic	3	0	0	0	0	0
suk-publicistic-0395	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0396	suk-publicistic	0	0	0	0	0	1
suk-publicistic-0397	suk-publicistic	2	4	1	1	0	0
suk-publicistic-0398	suk-publicistic	4	0	0	0	0	1
suk-publicistic-0399	suk-publicistic	1	0	0	0	0	1
suk-publicistic-0400	suk-publicistic	1	1	0	0	0	1
suk-publicistic-0401	suk-publicistic	9	0	0	0	0	0
suk-publicistic-0402	suk-publicistic	5	1	0	0	1	1
