anonymous_pair_id	condition	SVO	SOV	VSO	VOS	OSV	OVS
essay-pair-0036	human	1	0	0	0	0	0
essay-pair-0036	gpt5	8	0	0	0	0	0
essay-pair-0037	human	0	0	0	0	0	0
essay-pair-0037	gpt5	2	0	0	0	0	0
essay-pair-0038	human	2	0	0	0	0	0
essay-pair-0038	gpt5	9	1	0	0	0	0
essay-pair-0039	human	0	0	0	0	0	0
essay-pair-0039	gpt5	3	0	0	0	0	1
essay-pair-0040	human	2	0	0	0	0	0
essay-pair-0040	gpt5	7	1	0	0	0	0
essay-pair-0041	human	2	0	0	0	0	0
essay-pair-0041	gpt5	4	0	1	0	0	0
essay-pair-0042	human	1	0	0	0	0	0
essay-pair-0042	gpt5	4	1	0	0	0	0
essay-pair-0043	human	1	0	0	0	0	0
essay-pair-0043	gpt5	0	0	0	0	0	0
essay-pair-0044	human	0	0	0	0	0	0
essay-pair-0044	gpt5	2	0	0	0	0	1
essay-pair-0045	human	4	0	0	0	0	0
essay-pair-0045	gpt5	5	1	0	0	0	1
essay-pair-0046	human	3	1	0	0	0	0
essay-pair-0046	gpt5	3	0	0	0	0	0
essay-pair-0047	human	4	2	0	0	0	1
essay-pair-0047	gpt5	3	0	0	0	0	0
essay-pair-0048	human	0	0	1	0	0	0
essay-pair-0048	gpt5	3	0	0	0	0	0
essay-pair-0049	human	1	0	0	0	0	0
essay-pair-0049	gpt5	0	0	0	0	0	0
essay-pair-0050	human	1	0	1	0	0	0
essay-pair-0050	gpt5	2	0	0	0	0	0
essay-pair-0051	human	2	0	0	0	0	0
essay-pair-0051	gpt5	3	0	0	0	0	0
essay-pair-0052	human	2	0	0	0	0	0
essay-pair-0052	gpt5	2	0	0	0	0	0
essay-pair-0053	human	2	0	0	0	0	0
essay-pair-0053	gpt5	2	0	0	0	0	0
essay-pair-0054	human	4	0	1	0	0	0
essay-pair-0054	gpt5	7	0	0	0	0	1
essay-pair-0055	human	3	0	1	0	0	0
essay-pair-0055	gpt5	4	0	0	0	0	0
essay-pair-0056	human	2	0	1	0	0	0
essay-pair-0056	gpt5	1	0	0	0	0	1
essay-pair-0057	human	3	0	0	0	0	0
essay-pair-0057	gpt5	1	0	0	0	0	0
essay-pair-0058	human	3	0	0	0	0	0
essay-pair-0058	gpt5	2	0	0	0	0	0
essay-pair-0059	human	1	0	1	0	2	0
essay-pair-0059	gpt5	1	1	0	0	0	0
essay-pair-0060	human	2	0	0	0	0	0
essay-pair-0060	gpt5	4	0	0	0	0	0
essay-pair-0061	human	2	0	0	0	0	0
essay-pair-0061	gpt5	2	0	0	0	0	0
essay-pair-0062	human	2	0	0	0	0	0
essay-pair-0062	gpt5	8	0	0	0	0	0
essay-pair-0063	human	2	1	0	0	1	0
essay-pair-0063	gpt5	2	0	0	0	0	0
essay-pair-0064	human	4	0	0	0	0	1
essay-pair-0064	gpt5	2	0	0	0	0	0
essay-pair-0065	human	1	0	0	0	0	0
essay-pair-0065	gpt5	7	0	0	0	0	1
essay-pair-0066	human	2	0	0	0	0	0
essay-pair-0066	gpt5	5	0	0	0	0	1
essay-pair-0067	human	4	0	0	0	0	0
essay-pair-0067	gpt5	2	0	0	0	0	1
essay-pair-0068	human	3	0	0	0	0	0
essay-pair-0068	gpt5	1	0	0	0	0	0
essay-pair-0069	human	1	0	0	0	0	0
essay-pair-0069	gpt5	3	0	0	0	0	0
essay-pair-0070	human	1	0	0	0	0	0
essay-pair-0070	gpt5	3	1	0	0	0	0
essay-pair-0071	human	1	0	0	0	0	0
essay-pair-0071	gpt5	4	1	0	0	0	1
essay-pair-0072	human	0	0	0	0	0	0
essay-pair-0072	gpt5	6	0	0	0	0	0
essay-pair-0073	human	0	0	0	0	0	1
essay-pair-0073	gpt5	6	0	0	0	0	0
essay-pair-0074	human	1	1	0	0	0	0
essay-pair-0074	gpt5	4	0	0	0	0	1
essay-pair-0075	human	1	0	0	0	0	0
essay-pair-0075	gpt5	5	0	0	0	0	0
essay-pair-0076	human	3	0	0	0	0	0
essay-pair-0076	gpt5	1	0	0	0	0	0
essay-pair-0077	human	1	0	0	0	0	0
essay-pair-0077	gpt5	8	0	0	0	0	0
essay-pair-0078	human	1	0	0	0	0	0
essay-pair-0078	gpt5	3	0	0	0	1	0
essay-pair-0079	human	2	0	0	0	0	0
essay-pair-0079	gpt5	7	0	0	0	0	1
essay-pair-0080	human	0	0	0	0	0	0
essay-pair-0080	gpt5	6	0	0	0	0	0
essay-pair-0081	human	1	0	0	0	0	0
essay-pair-0081	gpt5	2	0	0	0	0	0
essay-pair-0082	human	0	0	1	0	0	0
essay-pair-0082	gpt5	7	1	0	0	0	0
essay-pair-0083	human	0	0	1	0	0	0
essay-pair-0083	gpt5	4	0	0	0	0	0
essay-pair-0084	human	3	0	0	0	0	1
essay-pair-0084	gpt5	3	0	0	0	0	0
essay-pair-0085	human	1	0	0	0	0	0
essay-pair-0085	gpt5	2	0	0	0	0	1
essay-pair-0086	human	1	0	0	0	0	0
essay-pair-0086	gpt5	5	0	0	0	0	0
essay-pair-0087	human	4	0	0	0	0	0
essay-pair-0087	gpt5	2	0	0	0	0	0
essay-pair-0088	human	2	0	0	0	0	0
essay-pair-0088	gpt5	2	0	0	0	1	0
essay-pair-0089	human	2	0	0	0	0	0
essay-pair-0089	gpt5	1	0	0	0	0	0
essay-pair-0090	human	0	0	0	0	0	0
essay-pair-0090	gpt5	3	0	0	0	0	0
essay-pair-0091	human	2	1	0	0	0	1
essay-pair-0091	gpt5	9	1	0	0	0	0
essay-pair-0092	human	3	0	0	0	0	1
essay-pair-0092	gpt5	21	0	0	0	0	1
essay-pair-0093	human	2	0	0	0	0	0
essay-pair-0093	gpt5	4	0	0	0	0	0
essay-pair-0094	human	0	0	0	0	0	1
essay-pair-0094	gpt5	1	0	0	0	0	0
essay-pair-0095	human	1	2	0	0	0	0
essay-pair-0095	gpt5	1	0	0	0	0	0
essay-pair-0096	human	0	1	0	0	0	1
essay-pair-0096	gpt5	3	0	0	0	0	0
essay-pair-0097	human	2	0	0	0	0	0
essay-pair-0097	gpt5	2	0	0	0	0	0
essay-pair-0098	human	2	1	1	0	0	0
essay-pair-0098	gpt5	5	0	0	0	0	0
essay-pair-0099	human	2	0	0	0	0	0
essay-pair-0099	gpt5	1	0	0	0	0	0
essay-pair-0100	human	1	0	0	0	0	0
essay-pair-0100	gpt5	3	0	0	0	0	0
essay-pair-0101	human	1	0	0	0	0	0
essay-pair-0101	gpt5	3	0	0	0	0	0
essay-pair-0102	human	0	0	0	0	0	1
essay-pair-0102	gpt5	0	0	0	0	0	0
essay-pair-0103	human	0	0	0	0	0	1
essay-pair-0103	gpt5	3	0	0	0	0	0
essay-pair-0104	human	2	0	0	0	0	1
essay-pair-0104	gpt5	2	0	0	0	0	0
essay-pair-0105	human	1	0	0	0	0	0
essay-pair-0105	gpt5	5	0	0	0	0	0
essay-pair-0106	human	0	2	0	0	0	0
essay-pair-0106	gpt5	1	0	0	0	0	0
essay-pair-0107	human	0	2	0	0	0	0
essay-pair-0107	gpt5	1	0	0	0	0	0
essay-pair-0108	human	2	1	0	0	0	0
essay-pair-0108	gpt5	2	1	0	0	0	0
essay-pair-0109	human	2	1	0	0	0	0
essay-pair-0109	gpt5	1	0	0	0	0	0
essay-pair-0110	human	2	1	0	0	0	1
essay-pair-0110	gpt5	1	0	0	0	0	0
essay-pair-0111	human	1	0	0	0	1	0
essay-pair-0111	gpt5	2	0	0	0	0	0
essay-pair-0112	human	2	1	0	0	1	0
essay-pair-0112	gpt5	2	0	0	0	0	0
essay-pair-0113	human	2	0	0	0	0	0
essay-pair-0113	gpt5	0	0	0	0	0	0
essay-pair-0114	human	1	0	0	0	0	0
essay-pair-0114	gpt5	2	0	0	0	0	0
essay-pair-0115	human	2	0	0	0	0	0
essay-pair-0115	gpt5	0	0	0	0	0	0
essay-pair-0116	human	1	0	0	0	1	0
essay-pair-0116	gpt5	1	1	0	0	0	0
essay-pair-0117	human	1	0	0	1	0	0
essay-pair-0117	gpt5	2	1	0	0	0	0
essay-pair-0118	human	1	0	0	0	0	0
essay-pair-0118	gpt5	0	0	0	0	0	0
essay-pair-0119	human	0	0	0	0	0	0
essay-pair-0119	gpt5	1	1	0	0	0	0
essay-pair-0120	human	0	1	0	0	0	0
essay-pair-0120	gpt5	3	0	0	0	0	0
essay-pair-0121	human	3	0	0	0	0	0
essay-pair-0121	gpt5	14	1	0	0	1	1
essay-pair-0122	human	0	0	0	0	0	0
essay-pair-0122	gpt5	3	0	0	0	0	0
essay-pair-0123	human	2	0	0	0	0	0
essay-pair-0123	gpt5	0	0	0	0	0	0
essay-pair-0124	human	1	0	0	0	0	0
essay-pair-0124	gpt5	0	0	0	0	0	0
essay-pair-0125	human	2	0	2	0	0	1
essay-pair-0125	gpt5	0	0	0	0	0	0
essay-pair-0126	human	0	0	0	0	0	0
essay-pair-0126	gpt5	3	0	0	0	0	0
essay-pair-0127	human	2	0	0	0	0	1
essay-pair-0127	gpt5	2	0	0	0	0	0
essay-pair-0128	human	3	0	0	0	0	0
essay-pair-0128	gpt5	1	0	0	0	0	0
essay-pair-0129	human	0	0	0	0	0	0
essay-pair-0129	gpt5	1	0	0	0	0	0
essay-pair-0130	human	2	0	0	0	0	0
essay-pair-0130	gpt5	4	0	0	0	0	0
essay-pair-0131	human	0	0	0	0	0	0
essay-pair-0131	gpt5	2	0	0	0	0	0
essay-pair-0132	human	0	0	1	0	0	0
essay-pair-0132	gpt5	2	0	0	0	0	0
essay-pair-0133	human	2	0	0	0	0	0
essay-pair-0133	gpt5	3	0	0	0	0	0
essay-pair-0134	human	1	0	0	0	0	0
essay-pair-0134	gpt5	2	0	0	0	0	0
essay-pair-0135	human	0	0	0	0	0	0
essay-pair-0135	gpt5	2	0	0	0	0	0
essay-pair-0136	human	0	0	0	0	0	0
essay-pair-0136	gpt5	1	0	0	0	0	0
essay-pair-0137	human	0	0	0	0	0	0
essay-pair-0137	gpt5	2	0	0	0	0	0
essay-pair-0138	human	0	0	0	0	0	0
essay-pair-0138	gpt5	1	0	0	0	0	0
essay-pair-0139	human	0	0	0	0	0	0
essay-pair-0139	gpt5	2	0	0	0	0	0
essay-pair-0140	human	0	0	0	0	0	0
essay-pair-0140	gpt5	2	0	0	0	0	0
essay-pair-0141	human	4	0	0	0	0	0
essay-pair-0141	gpt5	4	0	0	0	0	0
essay-pair-0142	human	1	0	1	0	0	0
essay-pair-0142	gpt5	3	0	0	0	0	0
essay-pair-0143	human	2	0	0	0	0	0
essay-pair-0143	gpt5	4	0	0	0	0	0
essay-pair-0144	human	1	0	0	0	0	0
essay-pair-0144	gpt5	3	0	0	0	0	0
essay-pair-0145	human	2	0	0	0	0	0
essay-pair-0145	gpt5	3	0	0	0	0	0
essay-pair-0146	human	1	0	0	0	0	0
essay-pair-0146	gpt5	3	0	0	0	0	0
essay-pair-0147	human	2	0	0	0	0	0
essay-pair-0147	gpt5	1	0	0	0	0	0
essay-pair-0148	human	1	0	0	0	0	0
essay-pair-0148	gpt5	4	0	0	0	0	0
essay-pair-0149	human	0	0	1	0	0	0
essay-pair-0149	gpt5	4	0	0	0	1	1
essay-pair-0150	human	0	0	0	0	0	1
essay-pair-0150	gpt5	2	0	0	0	0	2
essay-pair-0151	human	0	0	0	0	0	0
essay-pair-0151	gpt5	1	0	0	0	0	0
essay-pair-0152	human	6	0	0	0	0	0
essay-pair-0152	gpt5	5	0	0	0	0	0
essay-pair-0153	human	0	1	1	0	0	0
essay-pair-0153	gpt5	8	1	0	0	0	0
essay-pair-0154	human	1	0	0	0	0	1
essay-pair-0154	gpt5	3	0	0	0	0	1
essay-pair-0155	human	1	1	0	0	0	0
essay-pair-0155	gpt5	5	0	0	0	0	0
essay-pair-0156	human	0	0	0	0	0	0
essay-pair-0156	gpt5	5	0	0	0	0	0
essay-pair-0157	human	2	0	0	0	0	0
essay-pair-0157	gpt5	2	0	0	0	0	0
essay-pair-0158	human	3	0	0	0	0	0
essay-pair-0158	gpt5	1	0	0	0	0	0
essay-pair-0159	human	2	0	0	0	0	0
essay-pair-0159	gpt5	2	0	0	0	0	0
essay-pair-0160	human	2	0	1	0	0	1
essay-pair-0160	gpt5	5	0	0	0	0	0
essay-pair-0161	human	1	0	0	0	0	0
essay-pair-0161	gpt5	2	0	0	0	0	0
essay-pair-0162	human	1	0	0	0	0	0
essay-pair-0162	gpt5	4	0	0	0	0	0
essay-pair-0163	human	0	0	0	0	0	0
essay-pair-0163	gpt5	4	0	0	0	0	0
essay-pair-0164	human	1	0	0	0	0	0
essay-pair-0164	gpt5	1	0	0	0	0	0
essay-pair-0165	human	0	0	0	0	0	0
essay-pair-0165	gpt5	3	0	0	0	0	0
essay-pair-0166	human	0	0	0	0	0	0
essay-pair-0166	gpt5	0	0	0	0	0	0
essay-pair-0167	human	1	0	0	0	0	0
essay-pair-0167	gpt5	0	0	0	0	0	0
essay-pair-0168	human	0	0	0	0	0	1
essay-pair-0168	gpt5	2	0	0	0	0	0
essay-pair-0169	human	1	0	0	0	0	0
essay-pair-0169	gpt5	2	0	0	0	0	0
essay-pair-0170	human	0	0	0	0	0	0
essay-pair-0170	gpt5	0	0	0	0	0	0
essay-pair-0171	human	1	0	0	0	0	0
essay-pair-0171	gpt5	1	0	0	0	0	0
essay-pair-0172	human	1	0	0	0	0	0
essay-pair-0172	gpt5	0	0	0	0	0	0
essay-pair-0173	human	0	0	0	0	0	0
essay-pair-0173	gpt5	1	0	0	0	0	0
essay-pair-0174	human	0	0	0	0	0	0
essay-pair-0174	gpt5	1	0	0	0	0	0
essay-pair-0175	human	2	0	0	0	0	0
essay-pair-0175	gpt5	2	0	0	0	0	0
essay-pair-0176	human	0	0	0	0	0	1
essay-pair-0176	gpt5	3	0	0	0	0	0
essay-pair-0177	human	2	0	0	0	0	1
essay-pair-0177	gpt5	3	0	0	0	0	0
essay-pair-0178	human	3	0	0	0	0	0
essay-pair-0178	gpt5	1	0	0	0	0	0
essay-pair-0179	human	3	0	1	0	0	0
essay-pair-0179	gpt5	11	2	0	0	0	0
essay-pair-0180	human	2	0	0	0	0	0
essay-pair-0180	gpt5	7	0	0	0	0	1
essay-pair-0181	human	4	0	0	0	0	1
essay-pair-0181	gpt5	11	1	0	0	0	1
essay-pair-0182	human	4	1	0	0	0	0
essay-pair-0182	gpt5	7	0	0	0	0	0
essay-pair-0183	human	1	0	0	0	0	1
essay-pair-0183	gpt5	10	0	0	0	0	1
essay-pair-0184	human	4	1	0	0	0	2
essay-pair-0184	gpt5	16	1	0	0	0	1
essay-pair-0185	human	1	0	0	0	0	0
essay-pair-0185	gpt5	9	0	0	0	0	1
essay-pair-0186	human	6	0	0	0	0	0
essay-pair-0186	gpt5	13	1	0	0	0	0
essay-pair-0187	human	1	0	0	0	0	0
essay-pair-0187	gpt5	13	0	0	0	0	2
essay-pair-0188	human	0	0	0	0	0	0
essay-pair-0188	gpt5	2	0	0	0	0	0
essay-pair-0189	human	2	0	0	0	0	0
essay-pair-0189	gpt5	3	0	0	0	0	0
essay-pair-0190	human	0	0	0	0	0	0
essay-pair-0190	gpt5	0	0	0	0	0	0
essay-pair-0191	human	0	0	0	0	0	0
essay-pair-0191	gpt5	0	0	0	0	0	0
essay-pair-0192	human	2	0	0	0	0	0
essay-pair-0192	gpt5	5	1	0	0	0	0
essay-pair-0193	human	3	0	1	0	0	0
essay-pair-0193	gpt5	5	0	0	0	0	0
essay-pair-0194	human	2	0	0	0	0	0
essay-pair-0194	gpt5	3	0	0	0	0	0
essay-pair-0195	human	1	0	1	0	0	1
essay-pair-0195	gpt5	2	0	0	0	0	0
essay-pair-0196	human	1	0	0	0	0	0
essay-pair-0196	gpt5	2	0	0	0	0	0
essay-pair-0197	human	2	0	0	0	0	0
essay-pair-0197	gpt5	3	0	0	0	0	0
essay-pair-0198	human	2	1	0	0	0	0
essay-pair-0198	gpt5	5	0	0	1	0	0
essay-pair-0199	human	1	0	0	0	0	0
essay-pair-0199	gpt5	2	0	0	0	0	0
essay-pair-0200	human	1	1	0	0	1	0
essay-pair-0200	gpt5	2	0	0	0	0	0
essay-pair-0201	human	5	0	1	0	0	0
essay-pair-0201	gpt5	2	0	0	0	0	0
essay-pair-0202	human	2	0	0	0	0	0
essay-pair-0202	gpt5	12	0	0	0	0	0
essay-pair-0203	human	1	0	0	0	0	1
essay-pair-0203	gpt5	1	0	0	0	0	0
essay-pair-0204	human	2	0	0	0	0	0
essay-pair-0204	gpt5	5	0	0	0	0	1
essay-pair-0205	human	6	0	1	0	0	0
essay-pair-0205	gpt5	1	0	0	0	0	0
essay-pair-0206	human	0	0	0	0	0	0
essay-pair-0206	gpt5	4	1	0	0	0	0
essay-pair-0207	human	4	0	2	0	0	0
essay-pair-0207	gpt5	15	0	0	0	0	2
essay-pair-0208	human	1	0	0	0	0	0
essay-pair-0208	gpt5	5	0	0	0	0	0
essay-pair-0209	human	0	0	0	0	0	0
essay-pair-0209	gpt5	0	0	0	0	0	0
essay-pair-0210	human	1	0	0	0	0	0
essay-pair-0210	gpt5	0	0	0	0	0	0
essay-pair-0211	human	0	0	0	0	0	0
essay-pair-0211	gpt5	0	0	0	0	0	0
essay-pair-0212	human	0	0	0	0	0	0
essay-pair-0212	gpt5	4	0	0	0	0	0
essay-pair-0213	human	1	0	0	0	0	2
essay-pair-0213	gpt5	3	0	0	0	0	0
essay-pair-0214	human	0	0	0	0	0	0
essay-pair-0214	gpt5	0	0	0	0	0	0
essay-pair-0215	human	1	0	1	0	0	0
essay-pair-0215	gpt5	3	0	0	0	0	0
essay-pair-0216	human	3	0	0	0	0	0
essay-pair-0216	gpt5	4	0	0	0	0	0
essay-pair-0217	human	1	0	0	0	0	0
essay-pair-0217	gpt5	3	0	0	0	0	1
essay-pair-0218	human	3	0	0	0	0	0
essay-pair-0218	gpt5	3	0	0	0	0	0
essay-pair-0219	human	0	0	0	0	0	0
essay-pair-0219	gpt5	2	0	0	0	1	0
essay-pair-0220	human	1	0	0	0	0	0
essay-pair-0220	gpt5	2	0	0	0	0	0
essay-pair-0221	human	3	1	0	0	0	0
essay-pair-0221	gpt5	0	0	0	0	0	0
essay-pair-0222	human	0	0	1	0	0	0
essay-pair-0222	gpt5	4	0	0	0	0	0
essay-pair-0223	human	2	0	0	0	0	0
essay-pair-0223	gpt5	9	0	0	0	0	2
essay-pair-0224	human	3	0	0	0	0	0
essay-pair-0224	gpt5	4	0	0	0	0	0
essay-pair-0225	human	1	1	0	0	0	0
essay-pair-0225	gpt5	2	0	0	0	0	0
essay-pair-0226	human	3	0	1	0	0	0
essay-pair-0226	gpt5	4	0	0	0	0	0
essay-pair-0227	human	3	0	0	0	0	0
essay-pair-0227	gpt5	5	1	0	0	0	0
essay-pair-0228	human	2	0	0	0	0	1
essay-pair-0228	gpt5	2	0	0	0	0	0
essay-pair-0229	human	1	1	0	0	1	0
essay-pair-0229	gpt5	4	0	0	0	0	0
essay-pair-0230	human	1	0	0	0	0	0
essay-pair-0230	gpt5	2	0	0	0	0	0
essay-pair-0231	human	2	0	0	0	0	0
essay-pair-0231	gpt5	14	1	0	0	0	0
essay-pair-0232	human	0	0	0	0	0	0
essay-pair-0232	gpt5	1	0	0	0	0	0
essay-pair-0233	human	1	0	1	0	0	0
essay-pair-0233	gpt5	1	0	0	0	0	0
essay-pair-0234	human	2	0	0	0	0	0
essay-pair-0234	gpt5	1	0	0	0	0	0
essay-pair-0235	human	6	0	0	0	0	0
essay-pair-0235	gpt5	1	0	0	0	0	0
essay-pair-0236	human	3	0	0	0	0	1
essay-pair-0236	gpt5	4	0	0	0	0	1
essay-pair-0237	human	1	0	0	0	0	1
essay-pair-0237	gpt5	7	1	0	0	0	1
essay-pair-0238	human	0	0	0	0	0	0
essay-pair-0238	gpt5	0	0	0	0	0	0
essay-pair-0239	human	0	0	0	0	0	0
essay-pair-0239	gpt5	1	0	0	0	0	0
essay-pair-0240	human	0	0	0	0	0	0
essay-pair-0240	gpt5	6	0	0	0	0	0
essay-pair-0241	human	1	0	0	0	0	0
essay-pair-0241	gpt5	2	0	0	0	0	0
essay-pair-0242	human	1	0	0	0	0	0
essay-pair-0242	gpt5	5	0	0	0	0	0
essay-pair-0243	human	2	0	0	0	0	0
essay-pair-0243	gpt5	1	0	0	0	0	0
essay-pair-0244	human	3	1	0	0	0	0
essay-pair-0244	gpt5	3	0	0	0	0	0
essay-pair-0245	human	2	2	0	0	2	0
essay-pair-0245	gpt5	3	0	1	0	0	0
essay-pair-0246	human	0	0	0	0	0	0
essay-pair-0246	gpt5	0	0	0	0	0	0
essay-pair-0247	human	1	0	0	0	0	0
essay-pair-0247	gpt5	2	0	0	0	0	0
essay-pair-0248	human	4	0	0	0	0	0
essay-pair-0248	gpt5	6	0	0	0	0	1
essay-pair-0249	human	0	0	0	0	0	0
essay-pair-0249	gpt5	4	0	0	0	0	1
essay-pair-0250	human	2	0	1	0	0	0
essay-pair-0250	gpt5	4	1	0	0	0	0
essay-pair-0251	human	1	0	0	0	0	1
essay-pair-0251	gpt5	12	2	0	0	1	0
essay-pair-0252	human	1	0	0	0	0	0
essay-pair-0252	gpt5	0	0	0	0	0	0
essay-pair-0253	human	1	0	0	0	1	0
essay-pair-0253	gpt5	2	0	0	0	0	2
essay-pair-0254	human	2	1	0	0	0	0
essay-pair-0254	gpt5	8	0	0	0	0	0
essay-pair-0255	human	2	0	0	0	0	0
essay-pair-0255	gpt5	4	0	0	0	0	0
essay-pair-0256	human	1	0	0	0	0	0
essay-pair-0256	gpt5	6	0	0	0	0	0
essay-pair-0257	human	0	0	1	0	0	0
essay-pair-0257	gpt5	2	0	0	0	0	0
essay-pair-0258	human	1	0	0	0	0	0
essay-pair-0258	gpt5	0	1	0	0	0	0
essay-pair-0259	human	1	0	1	0	0	0
essay-pair-0259	gpt5	4	0	0	0	0	0
essay-pair-0260	human	1	0	1	0	0	1
essay-pair-0260	gpt5	2	0	0	0	0	0
essay-pair-0261	human	0	0	0	0	0	0
essay-pair-0261	gpt5	1	0	0	0	0	0
essay-pair-0262	human	4	0	1	0	0	0
essay-pair-0262	gpt5	5	1	0	0	0	0
essay-pair-0263	human	0	0	0	0	0	0
essay-pair-0263	gpt5	0	0	0	0	0	0
essay-pair-0264	human	2	0	2	0	0	0
essay-pair-0264	gpt5	24	2	0	0	0	2
essay-pair-0265	human	1	0	0	0	0	0
essay-pair-0265	gpt5	1	0	0	0	0	0
essay-pair-0266	human	2	0	0	0	0	0
essay-pair-0266	gpt5	5	1	0	0	0	0
essay-pair-0267	human	0	0	0	0	0	1
essay-pair-0267	gpt5	3	0	0	0	0	0
essay-pair-0268	human	0	0	0	0	0	0
essay-pair-0268	gpt5	0	0	0	0	0	0
essay-pair-0269	human	4	0	0	0	0	0
essay-pair-0269	gpt5	4	0	0	0	0	0
essay-pair-0270	human	1	0	0	0	0	0
essay-pair-0270	gpt5	4	0	0	0	0	0
essay-pair-0271	human	3	1	0	0	0	0
essay-pair-0271	gpt5	3	0	0	0	0	0
essay-pair-0272	human	2	0	1	0	0	3
essay-pair-0272	gpt5	11	0	0	0	0	0
essay-pair-0273	human	3	1	0	0	0	0
essay-pair-0273	gpt5	6	0	1	0	0	0
essay-pair-0274	human	3	1	0	0	1	0
essay-pair-0274	gpt5	2	0	0	0	0	0
essay-pair-0275	human	0	0	0	0	0	0
essay-pair-0275	gpt5	0	0	0	0	0	0
essay-pair-0276	human	6	0	0	0	0	1
essay-pair-0276	gpt5	7	2	0	0	0	1
essay-pair-0277	human	1	0	0	0	0	0
essay-pair-0277	gpt5	4	0	0	0	0	0
essay-pair-0278	human	3	0	0	0	0	1
essay-pair-0278	gpt5	0	0	0	0	0	0
essay-pair-0279	human	6	1	0	0	0	0
essay-pair-0279	gpt5	6	0	0	0	0	0
essay-pair-0280	human	5	0	1	0	0	0
essay-pair-0280	gpt5	5	0	0	0	0	1
essay-pair-0281	human	1	0	0	0	0	0
essay-pair-0281	gpt5	1	0	0	0	0	0
essay-pair-0282	human	0	0	1	0	0	0
essay-pair-0282	gpt5	5	0	0	0	0	0
essay-pair-0283	human	3	0	0	0	0	0
essay-pair-0283	gpt5	1	0	0	0	0	1
essay-pair-0284	human	2	1	0	0	0	1
essay-pair-0284	gpt5	5	0	1	0	0	0
